SYMBOL
AAPL
MSFT
NVDA
JNJ
UNH
PFE
BRK-B
JPM
BAC
AMZN
TSLA
HD
GOOGL
META
NFLX
PG
KO
PEP
XOM
CVX
COP
HON
UNP
RTX
NEE
DUK
SO
LIN
APD
SHW
PLD
AMT
CCI
